City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
280,Narasannapeta,18.4167,84.05,68.11,79,1,6.38,IN
281,Lenine,45.2986,35.7771,47.16,91,29,11.18,UA
282,Kabompo,-13.5927,24.2008,64.89,96,100,5.41,ZM
283,Avera,33.194,-82.5271,44.11,48,0,6.69,US
284,Deputatskiy,69.3,139.9,-24.05,96,99,4.65,RU
285,Alofi,-19.0595,-169.9187,80.49,65,81,14.97,NU
286,Waipawa,-41.4122,175.5153,60.69,55,5,8.41,NZ
287,Hearst,49.6835,-83.6665,23.25,93,100,10.76,CA
288,Makat,47.6469,53.3463,42.93,69,92,23.55,KZ
289,Hitiaa,-17.6,-149.3,75.22,81,100,4.47,PF
290,Tshela,-4.9833,12.9333,68.76,95,100,0.51,CD
291,Manavalakurichi,8.1333,77.3,77.2,87,100,3.6,IN
292,Okha,53.5739,142.9478,21.65,77,100,6.04,RU
293,Skovorodino,53.9833,123.9167,14.45,91,100,1.25,RU
294,Tashtagol,52.7657,87.8894,23.32,94,100,1.3,RU
295,Coquimbo,-29.9533,-71.3436,58.73,82,0,2.3,CL
296,Anadyr,64.75,177.4833,10.9,92,0,8.95,RU
297,Thompson,55.7435,-97.8558,3.6,98,40,3.85,CA
298,Ngunguru,-35.6167,174.5,64.87,68,0,14.25,NZ
299,Saint Anthony,45.0205,-93.218,27.25,63,40,5.75,US
300,Tulsipur,28.131,82.2973,55.92,62,12,4.54,NP
301,Pedernales,18.0384,-71.744,80.13,76,98,4.47,DO
302,Manuk Mangkaw,4.8,119.85,82.62,77,77,7.56,PH
303,Ostrovnoy,68.0531,39.5131,30.74,85,100,13.82,RU
304,Biak,-0.9131,122.8766,83.46,69,99,3.02,ID
305,Santa Cruz Del Norte,23.1539,-81.9236,78.49,76,4,12.15,CU
306,Marzuq,14.4,46.4667,61.23,41,0,1.43,YE
307,Nemuro,43.3236,145.575,42.33,64,94,31.88,JP
308,Milas,37.3164,27.7839,45.75,87,0,3.44,TR
309,Savannah Bight,16.45,-85.85,81.63,74,55,14.72,HN
310,Ambon,-3.6954,128.1814,84.34,79,40,3.44,ID
311,Vardo,70.3705,31.1107,31.98,74,75,6.91,NO
312,Saposoa,-6.934,-76.7716,80.08,72,100,2.48,PE
313,Gat,31.61,34.7642,71.4,70,41,5.7,IL
314,Pimentel,-6.8367,-79.9342,63.01,85,98,13.33,PE
315,Pangnirtung,66.1451,-65.7125,5.59,89,49,6.24,CA
316,Trat,12.5,102.5,78.75,88,93,8.97,TH
317,Akdepe,42.0551,59.3788,53.69,60,100,24.54,TM
318,Boyolangu,-8.1181,111.8935,81.48,81,100,3.02,ID
319,Poya,-21.35,165.15,81.84,63,17,9.98,NC
320,Mangrol,21.1167,70.1167,75.2,57,2,6.91,IN
321,Dzheguta,43.9671,42.0426,37.47,83,25,4.45,RU
322,Beringovskiy,63.05,179.3167,17.11,79,100,6.08,RU
323,Pochutla,15.7432,-96.4661,79.83,87,10,2.51,MX
324,Monrovia,6.3005,-10.7969,76.77,88,100,4.54,LR
325,Shenxian,36.2411,115.6672,45.86,46,100,7.67,CN
326,San Quintin,30.4833,-115.95,60.53,66,0,12.95,MX
327,Mayumba,-3.432,10.6554,76.44,81,100,7.0,GA
328,Berlevag,70.8578,29.0864,33.8,86,40,12.66,NO
329,Artvin,41.1667,41.8333,44.67,89,87,1.03,TR
330,Shouguang,36.88,118.7375,44.58,42,100,5.46,CN
331,Marquard,-28.6645,27.4305,51.8,63,0,5.82,ZA
332,Tuatapere,-46.1333,167.6833,69.58,50,100,4.59,NZ
333,Souillac,-20.5167,57.5167,71.98,83,75,3.44,MU
334,Dali,25.7,100.1833,52.09,70,4,1.77,CN
335,Tarko-Sale,64.9225,77.785,-11.94,85,78,10.38,RU
336,Norman Wells,65.282,-126.8329,12.24,85,40,6.91,CA
337,Sao Filipe,14.8961,-24.4956,76.33,73,91,10.0,CV
338,Port Augusta,-32.5,137.7667,65.48,43,68,17.67,AU
339,Xining,36.6167,101.7667,30.78,72,100,1.86,CN
340,Padang,-0.9492,100.3543,77.05,93,100,3.58,ID
341,Grindavik,63.8424,-22.4338,45.07,81,75,9.22,IS
342,Kaabong,3.4836,34.1492,66.33,71,100,8.59,UG
343,Teknaf,20.8624,92.3058,69.3,76,0,5.73,BD
344,Otane,-39.8833,176.6333,64.0,66,82,5.88,NZ
345,Totma,59.9747,42.7642,26.33,69,89,13.47,RU
346,Ampanihy,-24.7,44.75,72.16,75,0,4.14,MG
347,Airai,-8.9266,125.4092,73.22,65,100,2.46,TL
348,Ponta Delgada,37.7333,-25.6667,65.12,72,75,16.11,PT
349,Qandala,11.472,49.8728,75.96,64,0,4.52,SO
350,Lompoc,34.6391,-120.4579,60.94,79,0,9.22,US
351,Comodoro Rivadavia,-45.8667,-67.5,53.46,87,0,5.75,AR
352,Vangaindrano,-23.35,47.6,71.8,90,100,6.11,MG
353,Walvis Bay,-22.9575,14.5053,59.09,94,0,10.36,NA
354,Antalaha,-14.9003,50.2788,71.46,74,96,5.12,MG
355,Egvekinot,66.3167,-179.1667,-2.45,86,50,2.3,RU
356,Shingu,33.7333,135.9833,61.52,55,0,7.2,JP
357,Moroni,-11.7022,43.2551,75.13,82,0,3.04,KM
358,Santa Cruz,-17.8,-63.1667,80.06,78,75,6.91,BO
359,Zhangye,38.9342,100.4517,33.64,40,0,4.54,CN
360,Slave Lake,55.2834,-114.769,33.78,69,75,9.22,CA
361,Basse,52.5518,9.5069,45.25,94,100,8.05,DE
362,Alanya,36.5438,31.9998,51.93,35,0,7.18,TR
363,Manado,1.487,124.8455,88.57,70,40,2.3,ID
364,Ligayan,4.6533,119.4706,82.47,78,99,6.6,PH
